(venv) nithurshen@Nithurshens-MacBook Evaluation % python3 ./nnunet.py
--- Evaluating 198 Test Volumes from CTSpine1k ---
Mode: NORMAL (1.5mm)
Subject ID                     | Dice Score  
--------------------------------------------------
1.3.6.1.4.1.9328.50.4.0505     | 0.8968                                                                                                              
1.3.6.1.4.1.9328.50.4.0506     | 0.8994                                                                                                              
1.3.6.1.4.1.9328.50.4.0507     | 0.9096                                                                                                              
1.3.6.1.4.1.9328.50.4.0508     | 0.8984                                                                                                              
1.3.6.1.4.1.9328.50.4.0509     | 0.9154                                                                                                              
1.3.6.1.4.1.9328.50.4.0510     | 0.9064                                                                                                              
1.3.6.1.4.1.9328.50.4.0511     | 0.9121                                                                                                              
1.3.6.1.4.1.9328.50.4.0513     | 0.9022                                                                                                              
1.3.6.1.4.1.9328.50.4.0514     | 0.9086                                                                                                              
1.3.6.1.4.1.9328.50.4.0515     | 0.9061                                                                                                              
1.3.6.1.4.1.9328.50.4.0516     | 0.9064                                                                                                              
1.3.6.1.4.1.9328.50.4.0517     | 0.9076                                                                                                              
1.3.6.1.4.1.9328.50.4.0519     | 0.8995                                                                                                              
1.3.6.1.4.1.9328.50.4.0520     | 0.9147                                                                                                              
1.3.6.1.4.1.9328.50.4.0521     | 0.8836                                                                                                              
1.3.6.1.4.1.9328.50.4.0522     | 0.9073                                                                                                              
1.3.6.1.4.1.9328.50.4.0523     | 0.9062                                                                                                              
1.3.6.1.4.1.9328.50.4.0524     | 0.9150                                                                                                              
1.3.6.1.4.1.9328.50.4.0525     | 0.8986                                                                                                              
1.3.6.1.4.1.9328.50.4.0526     | 0.8894                                                                                                              
1.3.6.1.4.1.9328.50.4.0527     | 0.8940                                                                                                              
1.3.6.1.4.1.9328.50.4.0528     | 0.9082                                                                                                              
1.3.6.1.4.1.9328.50.4.0529     | 0.9042                                                                                                              
1.3.6.1.4.1.9328.50.4.0530     | 0.9000                                                                                                              
1.3.6.1.4.1.9328.50.4.0531     | 0.8930                                                                                                              
1.3.6.1.4.1.9328.50.4.0532     | 0.8995                                                                                                              
1.3.6.1.4.1.9328.50.4.0533     | 0.9032                                                                                                              
1.3.6.1.4.1.9328.50.4.0534     | 0.9050                                                                                                              
1.3.6.1.4.1.9328.50.4.0535     | 0.9100                                                                                                              
1.3.6.1.4.1.9328.50.4.0536     | 0.8946                                                                                                              
1.3.6.1.4.1.9328.50.4.0538     | 0.9148                                                                                                              
1.3.6.1.4.1.9328.50.4.0539     | 0.8919                                                                                                              
1.3.6.1.4.1.9328.50.4.0540     | 0.9132                                                                                                              
1.3.6.1.4.1.9328.50.4.0541     | 0.9049                                                                                                              
1.3.6.1.4.1.9328.50.4.0542     | 0.9145                                                                                                              
1.3.6.1.4.1.9328.50.4.0543     | 0.8978                                                                                                              
1.3.6.1.4.1.9328.50.4.0544     | 0.8959                                                                                                              
1.3.6.1.4.1.9328.50.4.0545     | 0.8991                                                                                                              
1.3.6.1.4.1.9328.50.4.0546     | 0.8938                                                                                                              
1.3.6.1.4.1.9328.50.4.0547     | 0.9003                                                                                                              
1.3.6.1.4.1.9328.50.4.0548     | 0.9110                                                                                                              
1.3.6.1.4.1.9328.50.4.0549     | 0.9085                                                                                                              
1.3.6.1.4.1.9328.50.4.0550     | 0.9070                                                                                                              
1.3.6.1.4.1.9328.50.4.0551     | 0.8927                                                                                                              
1.3.6.1.4.1.9328.50.4.0552     | 0.9105                                                                                                              
1.3.6.1.4.1.9328.50.4.0555     | 0.8635                                                                                                              
1.3.6.1.4.1.9328.50.4.0556     | 0.9079                                                                                                              
1.3.6.1.4.1.9328.50.4.0557     | 0.5414                                                                                                              
1.3.6.1.4.1.9328.50.4.0558     | 0.9075                                                                                                              
1.3.6.1.4.1.9328.50.4.0559     | 0.8864                                                                                                              
1.3.6.1.4.1.9328.50.4.0560     | 0.8990                                                                                                              
1.3.6.1.4.1.9328.50.4.0561     | 0.8960                                                                                                              
1.3.6.1.4.1.9328.50.4.0562     | 0.9023                                                                                                              
1.3.6.1.4.1.9328.50.4.0563     | 0.9061                                                                                                              
1.3.6.1.4.1.9328.50.4.0564     | 0.8569                                                                                                              
1.3.6.1.4.1.9328.50.4.0565     | 0.8943                                                                                                              
1.3.6.1.4.1.9328.50.4.0566     | 0.9060                                                                                                              
1.3.6.1.4.1.9328.50.4.0567     | 0.8915                                                                                                              
1.3.6.1.4.1.9328.50.4.0568     | 0.9150                                                                                                              
1.3.6.1.4.1.9328.50.4.0569     | 0.9139                                                                                                              
1.3.6.1.4.1.9328.50.4.0570     | 0.9048                                                                                                              
1.3.6.1.4.1.9328.50.4.0571     | 0.8994                                                                                                              
1.3.6.1.4.1.9328.50.4.0572     | 0.9119                                                                                                              
1.3.6.1.4.1.9328.50.4.0573     | 0.9074                                                                                                              
1.3.6.1.4.1.9328.50.4.0574     | 0.8793                                                                                                              
1.3.6.1.4.1.9328.50.4.0575     | 0.9043                                                                                                              
1.3.6.1.4.1.9328.50.4.0576     | 0.8917                                                                                                              
1.3.6.1.4.1.9328.50.4.0577     | 0.8993                                                                                                              
1.3.6.1.4.1.9328.50.4.0578     | 0.9144                                                                                                              
1.3.6.1.4.1.9328.50.4.0579     | 0.9134                                                                                                              
1.3.6.1.4.1.9328.50.4.0580     | 0.9040                                                                                                              
1.3.6.1.4.1.9328.50.4.0581     | 0.8984                                                                                                              
1.3.6.1.4.1.9328.50.4.0582     | 0.8980                                                                                                              
1.3.6.1.4.1.9328.50.4.0583     | 0.9040                                                                                                              
1.3.6.1.4.1.9328.50.4.0584     | 0.9013                                                                                                              
1.3.6.1.4.1.9328.50.4.0585     | 0.9040                                                                                                              
1.3.6.1.4.1.9328.50.4.0586     | 0.9130                                                                                                              
1.3.6.1.4.1.9328.50.4.0588     | 0.9034                                                                                                              
1.3.6.1.4.1.9328.50.4.0589     | 0.9076                                                                                                              
1.3.6.1.4.1.9328.50.4.0590     | 0.9204                                                                                                              
1.3.6.1.4.1.9328.50.4.0591     | 0.9123                                                                                                              
1.3.6.1.4.1.9328.50.4.0592     | 0.8776                                                                                                              
1.3.6.1.4.1.9328.50.4.0593     | 0.9059                                                                                                              
1.3.6.1.4.1.9328.50.4.0594     | 0.9058                                                                                                              
1.3.6.1.4.1.9328.50.4.0595     | 0.8997                                                                                                              
1.3.6.1.4.1.9328.50.4.0596     | 0.8961                                                                                                              
1.3.6.1.4.1.9328.50.4.0597     | 0.9055                                                                                                              
1.3.6.1.4.1.9328.50.4.0598     | 0.8910                                                                                                              
1.3.6.1.4.1.9328.50.4.0599     | 0.9042                                                                                                              
1.3.6.1.4.1.9328.50.4.0600     | 0.9160                                                                                                              
1.3.6.1.4.1.9328.50.4.0601     | 0.8874                                                                                                              
1.3.6.1.4.1.9328.50.4.0602     | 0.9168                                                                                                              
1.3.6.1.4.1.9328.50.4.0603     | 0.8914                                                                                                              
1.3.6.1.4.1.9328.50.4.0604     | 0.8965                                                                                                              
1.3.6.1.4.1.9328.50.4.0605     | 0.9005                                                                                                              
1.3.6.1.4.1.9328.50.4.0606     | 0.9132                                                                                                              
1.3.6.1.4.1.9328.50.4.0607     | 0.9427                                                                                                              
1.3.6.1.4.1.9328.50.4.0608     | 0.8910                                                                                                              
1.3.6.1.4.1.9328.50.4.0609     | 0.9061                                                                                                              
1.3.6.1.4.1.9328.50.4.0610     | 0.9098                                                                                                              
1.3.6.1.4.1.9328.50.4.0611     | 0.8952                                                                                                              
1.3.6.1.4.1.9328.50.4.0612     | 0.9027                                                                                                              
1.3.6.1.4.1.9328.50.4.0613     | 0.9105                                                                                                              
1.3.6.1.4.1.9328.50.4.0614     | 0.9145                                                                                                              
1.3.6.1.4.1.9328.50.4.0615     | 0.9002                                                                                                              
1.3.6.1.4.1.9328.50.4.0616     | 0.3859
1.3.6.1.4.1.9328.50.4.0619     | 0.8952                                                                                                                  
1.3.6.1.4.1.9328.50.4.0620     | 0.8933      
1.3.6.1.4.1.9328.50.4.0621     | 0.9057      
1.3.6.1.4.1.9328.50.4.0622     | 0.8973      
1.3.6.1.4.1.9328.50.4.0623     | 0.9114      
1.3.6.1.4.1.9328.50.4.0624     | 0.8933      
1.3.6.1.4.1.9328.50.4.0625     | 0.8956      
1.3.6.1.4.1.9328.50.4.0626     | 0.9070      
1.3.6.1.4.1.9328.50.4.0627     | 0.8941      
1.3.6.1.4.1.9328.50.4.0628     | 0.9094      
1.3.6.1.4.1.9328.50.4.0629     | 0.8985      
1.3.6.1.4.1.9328.50.4.0630     | 0.8946      
1.3.6.1.4.1.9328.50.4.0631     | 0.9106      
1.3.6.1.4.1.9328.50.4.0632     | 0.9147      
1.3.6.1.4.1.9328.50.4.0633     | 0.9036      
1.3.6.1.4.1.9328.50.4.0634     | 0.8948      
1.3.6.1.4.1.9328.50.4.0635     | 0.9185      
1.3.6.1.4.1.9328.50.4.0636     | 0.8924      
1.3.6.1.4.1.9328.50.4.0637     | 0.9070      
1.3.6.1.4.1.9328.50.4.0638     | 0.9004      
1.3.6.1.4.1.9328.50.4.0639     | 0.9042      
1.3.6.1.4.1.9328.50.4.0640     | 0.8977      
1.3.6.1.4.1.9328.50.4.0641     | 0.8803      
1.3.6.1.4.1.9328.50.4.0642     | 0.9002      
1.3.6.1.4.1.9328.50.4.0643     | 0.8877      
1.3.6.1.4.1.9328.50.4.0644     | 0.8984      
1.3.6.1.4.1.9328.50.4.0645     | 0.8856      
1.3.6.1.4.1.9328.50.4.0646     | 0.8979      
1.3.6.1.4.1.9328.50.4.0647     | 0.9140      
1.3.6.1.4.1.9328.50.4.0648     | 0.8970      
1.3.6.1.4.1.9328.50.4.0649     | 0.8969      
1.3.6.1.4.1.9328.50.4.0650     | 0.9005      
1.3.6.1.4.1.9328.50.4.0651     | 0.9001      
1.3.6.1.4.1.9328.50.4.0652     | 0.9031      
1.3.6.1.4.1.9328.50.4.0653     | 0.8793      
1.3.6.1.4.1.9328.50.4.0654     | 0.8963      
1.3.6.1.4.1.9328.50.4.0655     | 0.9102      
1.3.6.1.4.1.9328.50.4.0656     | 0.5050      
1.3.6.1.4.1.9328.50.4.0657     | 0.8885      
1.3.6.1.4.1.9328.50.4.0658     | 0.9030      
1.3.6.1.4.1.9328.50.4.0659     | 0.9053      
1.3.6.1.4.1.9328.50.4.0660     | 0.8860      
1.3.6.1.4.1.9328.50.4.0661     | 0.8999      
1.3.6.1.4.1.9328.50.4.0662     | 0.9086      
1.3.6.1.4.1.9328.50.4.0666     | 0.9007      
1.3.6.1.4.1.9328.50.4.0672     | 0.9065      
HN_P029                        | 0.9430      
HN_P030                        | 0.9383      
HN_P032                        | 0.9343      
HN_P033                        | 0.9336      
HN_P034                        | 0.9351      
HN_P035                        | 0.9377      
liver_165                      | 0.9294      
liver_167                      | 0.9095      
liver_169                      | 0.9507      
liver_170                      | 0.9401      
liver_171                      | 0.8970      
liver_172                      | 0.8933      
liver_173                      | 0.9227      
liver_174                      | 0.9038      
liver_175                      | 0.9030      
liver_176                      | 0.8470      
liver_178                      | 0.8939      
liver_179                      | 0.8969      
liver_180                      | 0.9547      
liver_181                      | 0.9126      
liver_182                      | 0.9332      
liver_183                      | 0.9345      
liver_184                      | 0.9154      
liver_185                      | 0.9061      
liver_186                      | 0.9172      
liver_188                      | 0.9107      
liver_189                      | 0.9162      
liver_190                      | 0.9161      
liver_192                      | 0.9107      
liver_193                      | 0.9334      
liver_194                      | 0.9211      
liver_195                      | 0.9200      
liver_196                      | 0.9204      
liver_197                      | 0.9201      
liver_198                      | 0.9098      
liver_199                      | 0.8915      
volume-covid19-A-0251_ct       | 0.9172      
